case_number,date,year,country,activity,sex_,age,fatal_yn,species_,Year_2,Type_attack,country_2,Gender2,Ages_2,Months,Fatality
1960.04.22,22-Apr-1960,1960.0,USA,"Fishing, hauling in a set line",M,,N,"Bronze whaler shark, 3 m [10'], 200-lb",1960,Provoked,USA,M,No_Info,Apr,N
1960.04.20.R,Reported 20-Apr-1960,1960.0,USA,Fishing,M,,N,"Raggedtooth shark, 100-lb ",1960,Provoked,USA,M,No_Info,Apr,N
1960.04.14,14-Apr-1960,1960.0,USA,Floating on a raft,M,"21, 34,24 & 35",,Questionable incident,1960,No_Info,USA,M,No_Info,Apr,nan
1960.04.12,12-Apr-1960,1960.0,USA,Surfing,M,17,N,"White shark, 3.7 m [12'] ",1960,Unprovoked,USA,M,17,Apr,N
1960.04.10,10-Apr-1960,1960.0,USA,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.",M,,N,"Sandtiger shark, 2.1 m [7'] ",1960,Provoked,USA,M,No_Info,Apr,N
1960.04.03.b,03-Apr-1960,1960.0,USA,Spearfishing,M,,N,1.5 m [5'] shark,1960,Unprovoked,USA,M,No_Info,Apr,N
1960.04.03.a,03-Apr-1960,1960.0,USA,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into sharks mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",M,,N,"Bronze whaler shark, 3.7 m [12'] identified by G.P. Whitley based on description",1960,Unprovoked,USA,M,No_Info,Apr,N
1960.04.01,01-Apr-1960,1960.0,USA,Shark fishing,nan,,N,White shark,1960,Provoked,USA,nan,No_Info,Apr,N
1960.04.00.c,Apr-1960,1960.0,USA,Fishing in shoulder-deep water,F,,Y,,1960,Unprovoked,USA,F,No_Info,No_Info,Y
1960.04.00.b,Apr-1960,1960.0,USA,"Fishing, hooked shark towed boat out to sea, storm swamped boat",M,,Y,,1960,Provoked,USA,M,No_Info,No_Info,Y
1960.04.00.a,Apr-1960,1960.0,USA,Fishing,nan,,N,White shark (tooth fragments recovered),1960,Boat,USA,nan,No_Info,No_Info,N
1960.03.31,31-Mar-1960,1960.0,USA,Treading water,M,42,N,"1.2 m [4'], possibly  larger shark",1960,Unprovoked,USA,M,42,Mar,N
1960.03.28,28-Mar-1960,1960.0,USA,"Spearfishing, carrying fish on belt",M,44,N,1.2 m [4'] shark,1960,Unprovoked,USA,M,44,Mar,N
1960.02.29,29-Feb-1960,1960.0,USA,"Wading, fishing for flounder",M,30 & 32,N,Two 2.1 m [7'] sharks,1960,Unprovoked,USA,M,No_Info,Feb,N
1960.02.27.b,27-Feb-1960,1960.0,USA,Spearfishing,M,22,N,"Bronze whaler shark,4 m [13'] ",1960,Unprovoked,USA,M,22,Feb,N
1960.02.27.a,27-Feb-1960,1960.0,USA,Spearfishing,M,36,,"According to Benjamin, the injury was inflicted by a barracuda, not a shark",1960,No_Info,USA,M,36,Feb,nan
1960.02.24,24-Feb-1960,1960.0,USA,Fishing,M,,N,,1960,Provoked,USA,M,No_Info,Feb,N
1960.02.19,19-Feb-1960,1960.0,USA,Spearfishing,M,26,Y,"Tiger shark, 3.4 m [11'] captured",1960,Unprovoked,USA,M,26,Feb,Y
1960.02.10.,10-Feb-1960,1960.0,USA,Shark fishing,nan,,N,"Tiger shark, 14' ",1960,Provoked,USA,nan,No_Info,Feb,N
1960.02.07,07-Feb-1960,1960.0,USA,Spearfishing,M,20,N,"Grey nurse shark, 2.9 m [9'6""] ",1960,Provoked,USA,M,20,Feb,N
1960.02.03,03-Feb-1960,1960.0,USA,S2F-1 airplane crashed immediately after carrier take-off,nan,,,Shark involvement prior to deaths was not confirmed,1960,No_Info,USA,nan,No_Info,Feb,nan
1960.01.30,30-Jan-1960,1960.0,USA,,M,,N,"3.5 m [11'6""] shark captured",1960,Unprovoked,USA,M,No_Info,Jan,N
1960.01.26,26-Jan-1960,1960.0,USA,Portuguese Airliner with 9 people aboard went down. ,nan,,N,,1960,Sea Disaster,USA,nan,No_Info,Jan,N
1960.01.21,21-Jan-1960,1960.0,USA,,nan,,N,Blue pointer,1960,Boat,USA,nan,No_Info,Jan,N
1960.01.16,16-Jan-1960,1960.0,USA,Free diving,M,13,Y,Bull shark,1960,Unprovoked,USA,M,13,Jan,Y
1960.01.13,13-Jan-1960,1960.0,USA,"Fishing, lifting shark out of craypot",M,,N,Wobbegong shark,1960,Provoked,USA,M,No_Info,Jan,N
1960.01.07,07-Jan-1960,1960.0,USA,Setting crayfish pots,nan,,N,4.9 m [16'] shark,1960,Boat,USA,nan,No_Info,Jan,N
1960.01.01,01-Jan-1960,1960.0,USA,"Standing, watching seine netters",F,,N,,1960,Provoked,USA,F,No_Info,Jan,N
1960.00.00.j,1960,1960.0,USA,Bathing,M,,N,3.7 m to 4.6 m [12' to 15'] shark,1960,Unprovoked,USA,M,No_Info,No_Info,N
1960.00.00.i,1960,1960.0,USA,Spearfishing,M,9,N,,1960,Unprovoked,USA,M,9,No_Info,N
1960.00.00.h,Early summer 1960,1960.0,USA,Aircraft crashed into sea,M,,,Shark involvement prior to death was not confirmed,1960,No_Info,USA,M,No_Info,No_Info,nan
1960.00.00.g,Late 1960s,1960.0,USA,Spearfishing,M,,N,Blacktail reef shark,1960,Unprovoked,USA,M,No_Info,No_Info,N
1960.00.00.f,1960s,1960.0,USA,Collecting ornamental fish,M,,N,Blacktip reef shark,1960,Unprovoked,USA,M,No_Info,No_Info,N
1960.00.00.e,1960-1961,1960.0,USA,Spearfishing,M,,N,,1960,Unprovoked,USA,M,No_Info,No_Info,N
1960.00.00.d,1960,1960.0,USA,"Spear fishing, removing fish from spear",M,16,Y,,1960,Unprovoked,USA,M,16,No_Info,Y
1960.00.00.c,1960,1960.0,USA,Fishing,M,20,N,,1960,Unprovoked,USA,M,20,No_Info,N
1960.00.00.b,Ca. 1960,1960.0,USA,Swimming,F,5,Y,,1960,Unprovoked,USA,F,5,No_Info,Y
1960.00.00.a,Ca. 1960,1960.0,USA,Wading,F,,N,2.1 m [7'] shark,1960,Unprovoked,USA,F,No_Info,No_Info,N
1959.12.29,29-Dec-1959,1959.0,USA,Paddling,nan,,N,3.7 m [12'] tiger shark,1959,Boat,USA,nan,No_Info,Dec,N
1959.12.28,28-Dec-1959,1959.0,USA,Fishing,nan,50 & 30,N,2.4 m  [8'] shark,1959,Boat,USA,nan,No_Info,Dec,N
1959.12.26,26-Dec-1959,1959.0,USA,Swimming underneath house on pilings,nan,13,Y,,1959,Unprovoked,USA,nan,13,Dec,Y
1959.12.19.b,19-Dec-1959,1959.0,USA,Dived from dinghy to retrieve oar in heavy seas,M,29,Y,,1959,Unprovoked,USA,M,29,Dec,Y
1959.12.19.a,19-Dec-1959,1959.0,USA,ship M.V. Rizal sank during typhoon,M,,Y,,1959,Sea Disaster,USA,M,No_Info,Dec,Y
1959.12.11,11-Dec-1959,1959.0,USA,"Spearfishing, Smith  & Walker touched shark with tip of their guns",M,17 & 35,N,2.7 m [9']  shark,1959,Provoked,USA,M,No_Info,Dec,N
1959.12.07,07-Dec-1959,1959.0,USA,Spearfishing,M,,,Invalid,1959,No_Info,USA,M,No_Info,Dec,nan
1959.12.03,03-Dec-1959,1959.0,USA,Fishing for snapper,M,,N,"Mako shark, 4.3 m [14']",1959,Boat,USA,M,No_Info,Dec,N
1959.12.00,Dec-1959,1959.0,USA,17 Maldivians adrift in open boat for 31 days,F,3,Y,,1959,Sea Disaster,USA,F,3,No_Info,Y
1959.11.29,29-Nov-1959,1959.0,USA,Body surfing,M,19,N,3.5 m [11.5'] shark,1959,Unprovoked,USA,M,19,Nov,N
1959.11.28,28-Nov-1959,1959.0,USA,Standing in chest-deep water,M,17,N,"""a small shark""",1959,Unprovoked,USA,M,17,Nov,N
1959.11.22,22-Nov-1959,1959.0,USA,Trailing the field in a surf race,M,19,N,3 m to 4.3 m [10' to 14'] shark,1959,Unprovoked,USA,M,19,Nov,N
1959.11.16,16-Nov-1959,1959.0,USA,National Airlines DC7B enroute from Miami to Los Angeles with 42 or 46 people on board went down in heavy fog,nan,,,Invalid,1959,No_Info,USA,nan,No_Info,Nov,nan
1959.11.15,15-Nov-1959,1959.0,USA,Fishing for tunny,nan,,N,"Thresher shark, 3.7 m [12'] ",1959,Boat,USA,nan,No_Info,Nov,N
1959.11.12.R,Reported 12-Nov-1959,1959.0,USA,Shark fishing,nan,,N,6 m [20'] shark,1959,Provoked,USA,nan,No_Info,Nov,N
1959.11.10,10-Nov-1959,1959.0,USA,Swimming at surface through school of feeding 2.5' to 5 sharks,M,21,N,"Blue shark, 1.5 m [5'] ",1959,Unprovoked,USA,M,21,Nov,N
1959.11.09,09-Nov-1959,1959.0,USA,"Spearfishing, shot shark, hauled it onto boat",M,,N,"Carpet shark, 1.5 m [5']",1959,Provoked,USA,M,No_Info,Nov,N
1959.11.01,01-Nov-1959,1959.0,USA,Fishing,M,,N,,1959,Provoked,USA,M,No_Info,Nov,N
1959.10.07,07-Oct-1959,1959.0,USA,Swimming,M,X,Y,,1959,Unprovoked,USA,M,No_Info,Oct,Y
1959.10.05,05-Oct-1959,1959.0,USA,,nan,,N,,1959,Unprovoked,USA,nan,No_Info,Oct,N
1959.10.04,04-Oct-1959,1959.0,USA,Diving for abalone,M,30,N,"White shark, 5 m [16.5'], identified by Dr. W. I. Follett on tooth marks",1959,Unprovoked,USA,M,30,Oct,N
1959.10.02,02-Oct-1959,1959.0,USA,Dived overboard to retrieve dinghy,M,,Y,4.3 m [14'] shark,1959,Unprovoked,USA,M,No_Info,Oct,Y
1959.10.00,Oct-1959,1959.0,USA,Spearfishing,M,36,N,"Tiger shark, 1.8 m [6']",1959,Unprovoked,USA,M,36,No_Info,N
1959.09.30,30-Sep-1959,1959.0,USA,Swimming ,M,28,N,,1959,Unprovoked,USA,M,28,Sep,N
1959.09.27,27-Sep-1959,1959.0,USA,,F,29,,Shark involvement prior to death was not confirmed,1959,No_Info,USA,F,29,Sep,nan
1959.09.26.b,26-Sep-1959,1959.0,USA,"Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",M,30,N,"A hammerhead shark, then 8 to 10 other sharks were said to be  involved",1959,Sea Disaster,USA,M,30,Sep,N
1959.09.26.a,26-Sep-1959,1959.0,USA,Gigging for flounder,nan,,UNKNOWN,"Said to involve white shark, but species identify questionable",1959,Boat,USA,nan,No_Info,Sep,No_Info
1959.09.11,Between 10 and 12-Sep-1959,1959.0,USA,Pulling hooked salmon to boat,nan,,N,"White shark, 3.5 m [11.5'], identified by W. I.  Follett on tooth fragments",1959,Boat,USA,nan,No_Info,Sep,N
1959.09.10.R,Reported 10-Sep-1959,1959.0,USA,,nan,,Y,6' shark,1959,Unprovoked,USA,nan,No_Info,Sep,Y
1959.09.02,02-Sep-1959,1959.0,USA,On inflatable raft,M,,,Questionable incident,1959,No_Info,USA,M,No_Info,Sep,nan
1959.09.00,Sep-1959,1959.0,USA,,F,"""middle-age""",Y,,1959,Unprovoked,USA,F,No_Info,No_Info,Y
1959.08.31.R,Reported 31-Aug-1959,1959.0,USA,Fishing,nan,,N,"White shark, based on 2 teeth retrieved from rudder",1959,Boat,USA,nan,No_Info,Aug,N
1959.08.30,30-Aug-1959,1959.0,USA,Swimming,M,,,Invalid,1959,No_Info,USA,M,No_Info,Aug,nan
1959.08.25,25-Aug-1959,1959.0,USA,,M,14,,Questionable incident,1959,No_Info,USA,M,14,Aug,nan
1959.08.20,20-Aug-1959,1959.0,USA,The 240-ton motor vessel Pilar II with 100 people on board capsized in high winds & rough seas,M,10,,Shark involvement prior to death was not confirmed,1959,No_Info,USA,M,10,Aug,nan
1959.08.15.b,15-Aug-1959,1959.0,USA,Diving,M,21,,Invalid,1959,No_Info,USA,M,21,Aug,nan
1959.08.15.a,15-Aug-1959,1959.0,USA,Spearfishing on Scuba,M,26,Y,3.7 m [12'] shark,1959,Unprovoked,USA,M,26,Aug,Y
1959.08.14.b,14-Aug-1959,1959.0,USA,Fishing,M,,N,5.5' shark,1959,Provoked,USA,M,No_Info,Aug,N
1959.08.14.a,14-Aug-1959,1959.0,USA,Fishing boat capsized ,nan,,Y,,1959,Sea Disaster,USA,nan,No_Info,Aug,Y
1959.08.13,13-Aug-1959,1959.0,USA,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ides speargun & he shot it in the mouth",M,32,N,"Hammerhead shark, 9' ",1959,Provoked,USA,M,32,Aug,N
1959.08.12,12-Aug-1959,1959.0,USA,Fishing,M,,N,20 kg shark,1959,Provoked,USA,M,No_Info,Aug,N
1959.08.11,11-Aug-1959,1959.0,USA,Swimming,M,13 or 18,Y,"Blue shark, 3 m [10']",1959,Unprovoked,USA,M,No_Info,Aug,Y
1959.08.10,10-Aug-1959,1959.0,USA,Standing,F,15,N,,1959,Unprovoked,USA,F,15,Aug,N
1959.08.05,05-Aug-1959,1959.0,USA,Wading,M,,,Invalid,1959,No_Info,USA,M,No_Info,Aug,nan
1959.08.02,21764,1959.0,USA,Scuba diving,M,34 & 19,,Shark involvement prior to death was not confirmed,1959,No_Info,USA,M,No_Info,No_Info,nan
1959.07.30,30-Jul-1959,1959.0,USA,Pulling anchor,nan,,N,"White shark, 3 m to 5 m [10' to 15'] ",1959,Provoked,USA,nan,No_Info,Jul,N
1959.07.28,28-Jul-1959,1959.0,USA,Spearfishing (but on surface),M,25,N,"Hammerhead shark, 1.8 m [6'] S. zygena identified by C. Limbaugh on description",1959,Unprovoked,USA,M,25,Jul,N
1959.07.25.b,25-Jul-1959,1959.0,USA,,M,22,Y,Blue shark?,1959,Unprovoked,USA,M,22,Jul,Y
1959.07.25.a,25-Jul-1959,1959.0,USA,,nan,21,N,"Hammerhead shark, 2.4 m [8'] ",1959,Boat,USA,nan,21,Jul,N
1959.07.23.b,23-Jul-1959,1959.0,USA,Fishing,nan,,N,"Hammerhead shark, 3 m [10'] ",1959,Boat,USA,nan,No_Info,Jul,N
1959.07.23.a,23-Jul-1959,1959.0,USA,Dragging stranded shark ashore,M,,N,"Blue shark, 1.8 m [6'] ",1959,Provoked,USA,M,No_Info,Jul,N
1959.07.03.a & b,03-Jul-1959,1959.0,USA,Columbian petrol barge Rio Atrato burned and sank,nan,27,Y,,1959,Sea Disaster,USA,nan,27,Jul,Y
1959.07.02,02-Jul-1959,1959.0,USA,Free diving,M,13,N,"Nurse shark, 60 cm [24""], identified by Dr. L.P. L. Schultz on photograph",1959,Provoked,USA,M,13,Jul,N
1959.07.00.b,Late Jul-1959,1959.0,USA,,nan,,N,"Oceanic whitetip shark,1.8 m [6'] ",1959,Boat,USA,nan,No_Info,No_Info,N
1959.07.00.a,Jul-1959,1959.0,USA,Wading,M,,Y,,1959,Unprovoked,USA,M,No_Info,No_Info,Y
1959.06.26.R,Reported 26-Jun-1959,1959.0,USA,,M,,N,,1959,Unprovoked,USA,M,No_Info,Jun,N
1959.06.14.b,14-Jun-1959,1959.0,USA,Swimming ashore from capsized boat,M,,Y,,1959,Unprovoked,USA,M,No_Info,Jun,Y
1959.06.14.a,14-Jun-1959,1959.0,USA,Free diving for abalone,M,33,Y,"Reported to involve a White shark, 6 m to 7m [20' to 23'] ",1959,Unprovoked,USA,M,33,Jun,Y
1959.06.13,13-Jun-1959,1959.0,USA,Swimming ,nan,,,Shark involvement prior to death was not confirmed,1959,No_Info,USA,nan,No_Info,Jun,nan
1959.05.30,30-May-1959,1959.0,USA,Spearfishing,M,23,N,"White shark, 2.7 m [9'], 280-lb ",1959,Provoked,USA,M,23,May,N
1959.05.16,16-May-1959,1959.0,USA,,F,37,N,1.2 m [4'] shark,1959,Unprovoked,USA,F,37,May,N
1959.05.07,07-May-1959,1959.0,USA,Treading water,M,18,Y,"White shark, 3 m [10']; identifed by Dr. W.I. Follett on tooth marks",1959,Unprovoked,USA,M,18,May,Y
1959.05.03,03-May-1959,1959.0,USA,Spearfishing,M,19,N,"Tiger shark, 3.7 m [12']",1959,Unprovoked,USA,M,19,May,N
1959.05.00,May-1959,1959.0,USA,Jumped overboard to rescue a man,M,,N,,1959,Unprovoked,USA,M,No_Info,No_Info,N
1959.04.27,27-Apr-1959,1959.0,USA,Spearfishing,M,22,,Questionable incident,1959,No_Info,USA,M,22,Apr,nan
1959.04.11,11-Apr-1959,1959.0,USA,Diving for pearl shell,M,43,N,"Tiger shark, 1.8 m [6'] ",1959,Unprovoked,USA,M,43,Apr,N
1959.04.09.b,09-Apr-1959,1959.0,USA,Fishing,M,,N,,1959,Unprovoked,USA,M,No_Info,Apr,N
1959.04.09..a,09-Apr-1959,1959.0,USA,Fishing,M,,N,,1959,Unprovoked,USA,M,No_Info,Apr,N
1959.04.05,05-Apr-1959,1959.0,USA,Spearfishing,M,,N,,1959,Unprovoked,USA,M,No_Info,Apr,N
1959.03.29,29-Mar-1959,1959.0,USA,Swimming,M,13,N,,1959,Unprovoked,USA,M,13,Mar,N
1959.03.08,08-Mar-1959,1959.0,USA,Lifeboat capsized,M,20,Y,,1959,Unprovoked,USA,M,20,Mar,Y
1959.03.00,Mar-1959,1959.0,USA,"On boat, preparing to dive",M,,N,Tiger shark 4.3 m [14'] ,1959,Boat,USA,M,No_Info,No_Info,N
1959.02.28,28-Feb-1959,1959.0,USA,Fishing for snapper,M,,N,"Mako shark, 2.4 m [8'], <300-lb, identified by Dr. L.P. L. Schultz on photograph",1959,Boat,USA,M,No_Info,Feb,N
1959.02.27,27-Feb-1959,1959.0,USA,Fell into water while attempting to boat a swordfish,M,,N,,1959,Unprovoked,USA,M,No_Info,Feb,N
1959.02.06,16-Feb-1959,1959.0,USA,Fishing,M,,N,3.7 m [12'] shark,1959,Provoked,USA,M,No_Info,Feb,N
1959.02.02,02-Feb-1959 Reported,1959.0,USA,Bathing with sister,M,15,Y,,1959,Unprovoked,USA,M,15,Feb,Y
1959.02.01,01-Feb-1959,1959.0,USA,Treading water,M,14,N,1.8 to 2.1 m [6' to 7'] shark,1959,Unprovoked,USA,M,14,Feb,N
1959.01.31,31-Jan-1959,1959.0,USA,Working prawn net,M,20,N,"Grey nurse shark, 1.8 m [6']",1959,Unprovoked,USA,M,20,Jan,N
1959.01.27,27-Jan-1959,1959.0,USA,Washed overboard into school of fish,M,57,N,Bitten by several 1.8 m [6'] sharks,1959,Unprovoked,USA,M,57,Jan,N
1959.01.25,25-Jan-1959,1959.0,USA,Swimming with motor tube,M,16,N,,1959,Unprovoked,USA,M,16,Jan,N
1959.01.17.b,17-Jan-1959,1959.0,USA,In deep water about 100 yards from his ship,M,22,Y,Said to involve 2 sharks: 5.2 m & 6 m [17' & 20'] ,1959,Unprovoked,USA,M,22,Jan,Y
1959.01.17.a,17-Jan-1959,1959.0,USA,"Surfing, but treading water",M,17,N,1.8 m [6'] shark,1959,Unprovoked,USA,M,17,Jan,N
1959.01.15,15-Jan-1959,1959.0,USA,Swimming,M,18,N,"White shark, 1.8 m to 2.1 m [6' to 7']  according to Shreuder and a witness",1959,Unprovoked,USA,M,18,Jan,N
1959.01.12,12-Jan-1959,1959.0,USA,Dragging banana seeds through the shallows,M,,N,1.4 m [4.5'] shark,1959,Unprovoked,USA,M,No_Info,Jan,N
1959.01.02,02-Jan-1959,1959.0,USA,Swimming ashore from fishing boat swamped and sunk by a squall,M,33 & 26,Y,,1959,Unprovoked,USA,M,No_Info,Jan,Y
1959.01.00,Jan-1959,1959.0,USA,Spearfishing / free diving,M,,N,1.5 m [5'] shark,1959,Unprovoked,USA,M,No_Info,No_Info,N
1959.00.00.g,Summer of 1959,1959.0,USA,Swimming,M,,Y,White shark?,1959,Unprovoked,USA,M,No_Info,No_Info,Y
1959.00.00.f,Jul- to Sep-1959,1959.0,USA,,nan,,Y,1.5 m to 1.8 m [5' to 6'] sharks,1959,Unprovoked,USA,nan,No_Info,No_Info,Y
1959.00.00.e,1959,1959.0,USA,Paddling & sailing from Buenos Aires to Miami,M,,N,"Tiger shark, 12' ?",1959,Provoked,USA,M,No_Info,No_Info,N
1959.00.00.d,1959,1959.0,USA,Spear fishing,M,,N,,1959,Unprovoked,USA,M,No_Info,No_Info,N
1959.00.00.c,1959,1959.0,USA,Fishing,M,,N,,1959,Unprovoked,USA,M,No_Info,No_Info,N
1959.00.00.b,1959,1959.0,USA,,M,,Y,,1959,Unprovoked,USA,M,No_Info,No_Info,Y
1959.00.00.a,1959,1959.0,USA,Fishing,M,,N,,1959,Provoked,USA,M,No_Info,No_Info,N
1958.12.28,28-Dec-1958,1958.0,USA,Fishing,nan,,,White shark,1958,Boat,USA,nan,No_Info,Dec,nan
1958.12.27,27-Dec-1958,1958.0,USA,,nan,,N,,1958,Unprovoked,USA,nan,No_Info,Dec,N
1958.12.23,23-Dec-1958,1958.0,USA,Swimming,M,14,Y,,1958,Unprovoked,USA,M,14,Dec,Y
1958.12.13,13-Dec-1958,1958.0,USA,Surfing on air mattress,M,15,Y,"Tiger shark, 4.6 m to 7.6 m [15' to 25'] ",1958,Unprovoked,USA,M,15,Dec,Y
1958.12.12,12-Dec-1958,1958.0,USA,Cleaning hull of ship ,M,22,Y,Tiger shark,1958,Unprovoked,USA,M,22,Dec,Y
1958.11.23,23-Nov-1958,1958.0,USA,Swimming,M,21,Y,12' shark,1958,Unprovoked,USA,M,21,Nov,Y
1958.11.14,14-Nov-1958,1958.0,USA,Fishing,M,,,Questionable incident,1958,No_Info,USA,M,No_Info,Nov,nan
1958.11.07.R,Reported 07-Nov-1958,1958.0,USA,Spearfishing,M,,Y,,1958,Unprovoked,USA,M,No_Info,Nov,Y
1958.11.05,05-Nov-1958,1958.0,USA,Fishing,nan,,N,White shark,1958,Boat,USA,nan,No_Info,Nov,N
1958.10.12,12-Oct-1958,1958.0,USA,Swimming near jetty,M,15,N,,1958,Unprovoked,USA,M,15,Oct,N
1958.10.05,05-Oct-1958,1958.0,USA,,M,60,N,,1958,Unprovoked,USA,M,60,Oct,N
1958.10.00.b,Oct-1958,1958.0,USA,Slapped shark on tail as it swam by,M,,N,,1958,Provoked,USA,M,No_Info,No_Info,N
1958.10.00.a,Oct-1958,1958.0,USA,Collecting shells,M,26,N,,1958,Unprovoked,USA,M,26,No_Info,N
1958.09.13,13-Sep-1958,1958.0,USA,"""Climbing up to ship after repairing the stern in water""",M,32,Y,Blue shark,1958,Unprovoked,USA,M,32,Sep,Y
1958.09.06,06-Sep-1958,1958.0,USA,Fishing,M,42,N,200-lb shark,1958,Unprovoked,USA,M,42,Sep,N
1958.09.01,01-Sep-1958,1958.0,USA,Spearfishing,M,20,N,,1958,Provoked,USA,M,20,Sep,N
1958.08.31,31-Aug-1958,1958.0,USA,Boat stopped to repair electric pump,nan,,N,"Hammerhead shark, 5.2 m [17'] ",1958,Boat,USA,nan,No_Info,Aug,N
1958.08.01,01-Aug-1958,1958.0,USA,Swimming,F,,N,3 m shark,1958,Unprovoked,USA,F,No_Info,Aug,N
1958.07.31.R,  Reported 31-Jul-1958,1958.0,USA,Swimming,F,,Y,,1958,Unprovoked,USA,F,No_Info,Jul,Y
1958.07.27.b,27-Jul-1958,1958.0,USA,"Swimming, ducking for shells in water 0.9 m deep",M,12,N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",1958,Unprovoked,USA,M,12,Jul,N
1958.07.27.a,27-Jul-1958,1958.0,USA,"Swimming, ducking for shells in water 0.9 m deep",M,8,N,"Tiger shark, 1.5 m to 1.8 m [5' to 6'] ",1958,Unprovoked,USA,M,8,Jul,N
1958.07.10,10-Jul-1958,1958.0,USA,,M,35,Y,,1958,Unprovoked,USA,M,35,Jul,Y
1958.07.08, 08-Jul-1958,1958.0,USA,Swimming,M,21,Y,,1958,Unprovoked,USA,M,21,Jul,Y
1958.07.04.b,04-Jul-1958,1958.0,USA,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,M,,Y,Sharks averaged 1.8 m [6'] in length,1958,Sea Disaster,USA,M,No_Info,Jul,Y
1958.07.04.a,04-Jul-1958,1958.0,USA,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,M,31,N,Sharks averaged 1.8 m [6'] in length,1958,Sea Disaster,USA,M,31,Jul,N
1958.07.02,02-Jul-1958,1958.0,USA,Free diving,M,20,N,"Nurse shark, 1.5 m [5']  identified by Dr. E. Clark on description of shark",1958,Provoked,USA,M,20,Jul,N
1958.07.01,01-Jul-1958,1958.0,USA,Swimming,M,38,Y,,1958,Unprovoked,USA,M,38,Jul,Y
1958.07.00.b,Jul-1958,1958.0,USA,"Spearfishing, had fish on his spear",M,36,N,"Tiger shark, <2 m TL",1958,Unprovoked,USA,M,36,No_Info,N
1958.07.00.a,Jul-1958,1958.0,USA,,M,,N,,1958,Unprovoked,USA,M,No_Info,No_Info,N
1958.06.26,26-Jun-1958,1958.0,USA,Wading,M,59,N,"Nurse shark, 2.1 m [7']  identified by Dr. E. Clark on color & tooth impressions",1958,Provoked,USA,M,59,Jun,N
1958.06.24,24-Jun-1958,1958.0,USA,Walking,M,17,N,Tiger shark?,1958,Unprovoked,USA,M,17,Jun,N
1958.06.17,17-Jun-1958,1958.0,USA,"Swimming, towing the shark",M,,N,"Nurse shark, 1.1 m [3.5'] ",1958,Provoked,USA,M,No_Info,Jun,N
1958.06.15,15-Jun-1958,1958.0,USA,Swimming,F,,,Invalid,1958,No_Info,USA,F,No_Info,Jun,nan
1958.06.02.R,Reported 02-Jun-1958,1958.0,USA,Spearfishing,M,,,Invalid,1958,No_Info,USA,M,No_Info,Jun,nan
1958.04.30,30-Apr-1958,1958.0,USA,Free diving,M,29,N,"Nurse shark, 1.5 m [5'] ",1958,Provoked,USA,M,29,Apr,N
1958.04.19,19-Apr-1958,1958.0,USA,Diving,M,29,N,"Mako shark, 100-kg [221-lb] ",1958,Unprovoked,USA,M,29,Apr,N
1958.04.05,05-Apr-1958,1958.0,USA,Paddling in knee-deep water,F,28,Y,3 m [10'] shark,1958,Unprovoked,USA,F,28,Apr,Y
1958.04.03,03-Apr-1958,1958.0,USA,Swimming with goggles,M,29,Y,3 m [10'] shark,1958,Unprovoked,USA,M,29,Apr,Y
1958.04.00,Apr-1958,1958.0,USA,"Fishing, holding fish in his left hand",M,,N,,1958,Unprovoked,USA,M,No_Info,No_Info,N
1958.02.19,19-Feb-1958,1958.0,USA,Spearfishing,M,21,,Shark involvement prior to death was not confirmed,1958,No_Info,USA,M,21,Feb,nan
1958.02.01,01-Feb-1958,1958.0,USA,Spearfishing on Scuba,M,18,N,"Nurse shark, 1.5 m [5'] ",1958,Provoked,USA,M,18,Feb,N
1958.01.27,27-Jan-1958,1958.0,USA,Spearfishing / swimming on surface,M,17,N,,1958,Unprovoked,USA,M,17,Jan,N
1958.01.19,19-Jan-1958,1958.0,USA,Body surfing,M,14,N,6' shark,1958,Unprovoked,USA,M,14,Jan,N
1958.01.09.R,Reported 09-Jan-1958,1958.0,USA,,M,50,,Shark involvement prior to death was not confirmed,1958,No_Info,USA,M,50,Jan,nan
1958.01.09,09-Jan-1958,1958.0,USA,Swimming,M,,Y,White shark,1958,Unprovoked,USA,M,No_Info,Jan,Y
1958.00.00.j,1958-1959,1958.0,USA,Spearfishing,M,,N,<1 m shark,1958,Provoked,USA,M,No_Info,No_Info,N
1958.00.00.i,1958,1958.0,USA,Placed hand in disemboweled sharks jaws,nan,,N,,1958,Provoked,USA,nan,No_Info,No_Info,N
1958.00.00.h,1958,1958.0,USA,Skindiving,M,,N,"18"" to 24"" shark",1958,Provoked,USA,M,No_Info,No_Info,N
1958.00.00.f,1958,1958.0,USA,,nan,,Y,,1958,Unprovoked,USA,nan,No_Info,No_Info,Y
